date,text,compound,positive,negative,neutral
2021-02-08T14:01:09Z,"Elon Musks cryptocurrency hype was more than just idle talk. CNBCreports that Tesla not only bought $1.5 billion worth of Bitcoin to help diversify and maximize its returns, but will start taking pay… [+1182 chars]",0.3182,0.091,0.0,0.909
2021-02-09T23:10:46Z,"Tesla, led by Elon Musk, confirmed that it purchased about $ 1.5 billion in bitcoin in January and expects to start accepting it as a payment in the future.  | Photo by Artur Widak/NurPhoto via Getty… [+6118 chars]",0.3818,0.071,0.0,0.929
2021-02-09T12:00:00Z,"For a brief moment on Sunday, before Tesla said it had invested $1.5 billion in bitcoin and planned to let people use the cryptocurrency to pay for its cars, bitcoins price could be expressed with a … [+3302 chars]",-0.1027,0.0,0.038,0.962
2021-02-12T10:51:25Z,"Twitter and Square CEO Jack Dorsey and rapper Jay Z have created an endowment to fund bitcoin development initially in Africa and India, Dorsey said Friday.
The duo is putting 500 bitcoin, which is … [+3984 chars]",0.25,0.056,0.0,0.944
2021-02-08T13:02:03Z,"Today in an SEC filing, Tesla disclosed that it has acquired $1.5 billion in bitcoin, the popular cryptocurrency. Moreover, the company noted that it may also accept bitcoin in the future as a form o… [+2230 chars]",0.6597,0.137,0.0,0.863
2021-02-12T13:00:00Z,"When Bitcoin first appeared out of digital thin air, it was hailed as having the potential to upend the way people spent money. But more than a decade later, cryptocurrency is still only trickling in… [+2039 chars]",0.1779,0.051,0.032,0.916
2021-01-28T05:10:00Z,"TL;DR: The Bitcoin and Cryptocurrency Mastery Bundle is on sale for £21.11 as of Jan. 28, saving you 70% on list price.
Bitcoin and the blockchain are not going away anytime soon. Though market's vo… [+3074 chars]",0.0,0.0,0.0,1.0
2021-02-09T13:18:43Z,"LiveUpdated Feb. 9, 2021, 8:01 a.m. ET
Feb. 9, 2021, 8:01 a.m. ET
Heres what you need to know:
Bitcoin continued its recent rise, fueled by Teslas announcement on Monday that it had purchased $1.5… [+8933 chars]",0.0,0.0,0.0,1.0
2021-02-16T17:45:00Z,"Bitcoin is the future, again: this morning, it hit an all-time high value of over $50,000. Is there a lesson in here? Are Elon Musks tweets a good investment strategy? Should we get in on this? We ha… [+3198 chars]",0.7041,0.14,0.0,0.86
2021-02-12T23:10:51Z,"Jack Dorsey and Jay Z create a bitcoin endowment, Datadog acquires a Startup Battlefield company and BuzzFeed experiments with AI-generated quizzes. This is your Daily Crunch for February 12, 2021.
… [+2805 chars]",-0.128,0.066,0.082,0.852
2021-02-13T05:43:00Z,"In case you havent noticed, Bitcoins having a bit of a moment. The cryptocurrencys value reached record heights in recent weeks, youll soon be able to buy a Tesla with it, and, as of Friday, you can … [+1500 chars]",0.4215,0.101,0.0,0.899
2021-02-12T18:00:00Z,"Miamis mayor, Francis Suarez, is champing at the bit to rebrand his city as a haven for tech entrepreneurs and the tax dollars that come in their wake. His latest branding effort involves a push to m… [+2454 chars]",0.1779,0.045,0.0,0.955
2021-01-29T10:59:39Z,"As the man himself said, it was inevitable. 
On Friday, Tesla CEO Elon Musk changed his Twitter bio to ""#bitcoin."" This alone perhaps wouldn't be that interesting after all, Musk expressed his inter… [+2792 chars]",-0.5037,0.0,0.114,0.886
2021-01-27T19:24:32Z,"Cryptocurrencies, more so than most other things, are only valuable because of a shared agreement that they are valuable. Their value is a product of digital handshakes over millions of transactions … [+3710 chars]",0.9217,0.353,0.0,0.647
